id,loan_amnt,int_rate,term_months,grade,sub_grade,emp_length_years,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,issue_date,issue_year,issue_month,loan_status,is_default
,2500,13.56,36.0,C,C1,10.0,RENT,55000.0,Not Verified,debt_consolidation,NY,18.24,2018-12-01,2018,2018-12,Current,0
,30000,18.94,60.0,D,D2,10.0,MORTGAGE,90000.0,Source Verified,debt_consolidation,LA,26.52,2018-12-01,2018,2018-12,Current,0
,5000,17.97,36.0,D,D1,6.0,MORTGAGE,59280.0,Source Verified,debt_consolidation,MI,10.51,2018-12-01,2018,2018-12,Current,0
,4000,18.94,36.0,D,D2,10.0,MORTGAGE,92000.0,Source Verified,debt_consolidation,WA,16.74,2018-12-01,2018,2018-12,Current,0
,30000,16.14,60.0,C,C4,10.0,MORTGAGE,57250.0,Not Verified,debt_consolidation,MD,26.35,2018-12-01,2018,2018-12,Current,0
,5550,15.02,36.0,C,C3,10.0,MORTGAGE,152500.0,Not Verified,credit_card,IN,37.94,2018-12-01,2018,2018-12,Current,0
,2000,17.97,36.0,D,D1,4.0,RENT,51000.0,Source Verified,debt_consolidation,IL,2.4,2018-12-01,2018,2018-12,Current,0
,6000,13.56,36.0,C,C1,10.0,RENT,65000.0,Source Verified,credit_card,IN,30.1,2018-12-01,2018,2018-12,Current,0
,5000,17.97,36.0,D,D1,10.0,MORTGAGE,53580.0,Source Verified,debt_consolidation,FL,21.16,2018-12-01,2018,2018-12,Current,0
,6000,14.47,36.0,C,C2,0.0,OWN,300000.0,Not Verified,debt_consolidation,CT,17.43,2018-12-01,2018,2018-12,Current,0
,5500,22.35,36.0,D,D5,0.0,MORTGAGE,50000.0,Not Verified,credit_card,LA,15.94,2018-12-01,2018,2018-12,Current,0
,28000,11.31,60.0,B,B3,2.0,MORTGAGE,70000.0,Not Verified,credit_card,GA,22.01,2018-12-01,2018,2018-12,Current,0
,11200,8.19,36.0,A,A4,10.0,MORTGAGE,65000.0,Not Verified,credit_card,UT,23.6,2018-12-01,2018,2018-12,Current,0
,6500,17.97,36.0,D,D1,4.0,MORTGAGE,154000.0,Source Verified,debt_consolidation,NC,28.78,2018-12-01,2018,2018-12,Current,0
,22000,12.98,60.0,B,B5,10.0,MORTGAGE,65000.0,Source Verified,debt_consolidation,KY,11.19,2018-12-01,2018,2018-12,Current,0
,3500,16.14,36.0,C,C4,10.0,MORTGAGE,80000.0,Verified,debt_consolidation,IL,13.63,2018-12-01,2018,2018-12,Current,0
,7000,12.98,36.0,B,B5,4.0,MORTGAGE,102500.0,Not Verified,house,OH,15.2,2018-12-01,2018,2018-12,Current,0
,25000,16.91,60.0,C,C5,10.0,MORTGAGE,23878.0,Not Verified,debt_consolidation,OH,6.26,2018-12-01,2018,2018-12,Current,0
,16000,20.89,60.0,D,D4,4.0,MORTGAGE,120000.0,Not Verified,credit_card,AR,27.57,2018-12-01,2018,2018-12,Current,0
,13000,14.47,60.0,C,C2,10.0,MORTGAGE,75000.0,Not Verified,debt_consolidation,OK,26.16,2018-12-01,2018,2018-12,Current,0
,10000,13.56,36.0,C,C1,0.0,MORTGAGE,65000.0,Not Verified,credit_card,CA,10.62,2018-12-01,2018,2018-12,Current,0
,13000,14.47,36.0,C,C2,10.0,MORTGAGE,55000.0,Verified,credit_card,IL,10.58,2018-12-01,2018,2018-12,Current,0
,9600,23.4,36.0,E,E1,9.0,RENT,65000.0,Not Verified,credit_card,WV,23.01,2018-12-01,2018,2018-12,Current,0
,3500,20.89,36.0,D,D4,10.0,MORTGAGE,40000.0,Source Verified,car,NJ,9.09,2018-12-01,2018,2018-12,Current,0
,16000,26.31,60.0,E,E4,0.0,RENT,33000.0,Source Verified,credit_card,SC,33.62,2018-12-01,2018,2018-12,Current,0
,15000,14.47,60.0,C,C2,,MORTGAGE,30000.0,Source Verified,debt_consolidation,TX,41.6,2018-12-01,2018,2018-12,Current,0
,13000,23.4,36.0,E,E1,2.0,MORTGAGE,90000.0,Verified,other,PA,39.73,2018-12-01,2018,2018-12,Current,0
,23000,20.89,60.0,D,D4,5.0,RENT,68107.0,Source Verified,debt_consolidation,KS,0.52,2018-12-01,2018,2018-12,Current,0
,8000,23.4,36.0,E,E1,10.0,OWN,43000.0,Source Verified,debt_consolidation,AL,33.24,2018-12-01,2018,2018-12,Current,0
,32075,11.8,60.0,B,B4,10.0,MORTGAGE,150000.0,Not Verified,credit_card,VA,22.21,2018-12-01,2018,2018-12,Current,0
,12000,13.56,60.0,C,C1,0.0,MORTGAGE,40000.0,Not Verified,debt_consolidation,PA,19.23,2018-12-01,2018,2018-12,Current,0
,10000,19.92,60.0,D,D3,10.0,MORTGAGE,80000.0,Not Verified,debt_consolidation,MO,20.67,2018-12-01,2018,2018-12,Current,0
,16000,17.97,60.0,D,D1,5.0,MORTGAGE,51000.0,Not Verified,debt_consolidation,NC,21.91,2018-12-01,2018,2018-12,Current,0
,3300,23.4,36.0,E,E1,3.0,RENT,49700.0,Source Verified,vacation,GA,14.32,2018-12-01,2018,2018-12,Current,0
,20000,11.8,60.0,B,B4,,MORTGAGE,47590.0,Verified,credit_card,PA,9.53,2018-12-01,2018,2018-12,Current,0
,3500,20.89,36.0,D,D4,10.0,RENT,33190.0,Source Verified,credit_card,AZ,19.71,2018-12-01,2018,2018-12,Current,0
