id,loan_amnt,int_rate,term_months,grade,sub_grade,emp_length_years,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,issue_date,issue_year,issue_month,loan_status,is_default
1,2500,13.56,36.0,C,C1,10.0,RENT,55000.0,Not Verified,debt_consolidation,NY,18.24,2018-12-01,2018,2018-12,Current,0
2,30000,18.94,60.0,D,D2,10.0,MORTGAGE,90000.0,Source Verified,debt_consolidation,LA,26.52,2018-12-01,2018,2018-12,Current,0
3,5000,17.97,36.0,D,D1,6.0,MORTGAGE,59280.0,Source Verified,debt_consolidation,MI,10.51,2018-12-01,2018,2018-12,Current,0
4,4000,18.94,36.0,D,D2,10.0,MORTGAGE,92000.0,Source Verified,debt_consolidation,WA,16.74,2018-12-01,2018,2018-12,Current,0
5,30000,16.14,60.0,C,C4,10.0,MORTGAGE,57250.0,Not Verified,debt_consolidation,MD,26.35,2018-12-01,2018,2018-12,Current,0
6,5550,15.02,36.0,C,C3,10.0,MORTGAGE,152500.0,Not Verified,credit_card,IN,37.94,2018-12-01,2018,2018-12,Current,0
7,2000,17.97,36.0,D,D1,4.0,RENT,51000.0,Source Verified,debt_consolidation,IL,2.4,2018-12-01,2018,2018-12,Current,0
8,6000,13.56,36.0,C,C1,10.0,RENT,65000.0,Source Verified,credit_card,IN,30.1,2018-12-01,2018,2018-12,Current,0
9,5000,17.97,36.0,D,D1,10.0,MORTGAGE,53580.0,Source Verified,debt_consolidation,FL,21.16,2018-12-01,2018,2018-12,Current,0
10,6000,14.47,36.0,C,C2,0.0,OWN,300000.0,Not Verified,debt_consolidation,CT,17.43,2018-12-01,2018,2018-12,Current,0
11,5500,22.35,36.0,D,D5,0.0,MORTGAGE,50000.0,Not Verified,credit_card,LA,15.94,2018-12-01,2018,2018-12,Current,0
12,28000,11.31,60.0,B,B3,2.0,MORTGAGE,70000.0,Not Verified,credit_card,GA,22.01,2018-12-01,2018,2018-12,Current,0
13,11200,8.19,36.0,A,A4,10.0,MORTGAGE,65000.0,Not Verified,credit_card,UT,23.6,2018-12-01,2018,2018-12,Current,0
