issue_year,grade,loans,exposure,default_rate,avg_int_rate,avg_loan_amnt
2014,A,901,13370500,0.0,7.627247502774694,14839.622641509433
2014,B,1051,17953650,0.0,11.49431969552807,17082.44529019981
2014,C,789,13119400,0.0,15.082750316856782,16627.88339670469
2014,D,392,5968675,0.0,19.59232142857143,15226.211734693878
2014,E,186,2103175,0.0,24.858387096774194,11307.39247311828
2014,F,3,3000,0.0,30.75,1000.0
2015,A,924,13341150,0.0,7.664307359307359,14438.474025974027
2015,B,988,17082150,0.0,11.500637651821863,17289.625506072876
2015,C,843,13622825,0.0,15.08731909845789,16159.934756820878
2015,D,428,6651850,0.0,19.669883177570096,15541.705607476635
2015,E,186,2413925,0.0,24.926129032258064,12978.091397849463
2015,F,4,4000,0.0,30.75,1000.0
2016,A,870,12660050,0.0,7.631988505747127,14551.781609195403
2016,B,970,16382175,0.0,11.453092783505154,16888.840206185567
2016,C,810,13083600,0.0,15.137370370370371,16152.592592592593
2016,D,394,6011400,0.0,19.636218274111677,15257.360406091371
2016,E,177,2139900,0.0,24.915762711864406,12089.830508474577
2016,F,3,3000,0.0,30.75,1000.0
2017,A,940,13170075,0.0,7.649936170212766,14010.718085106382
2017,B,976,16688325,0.0,11.529180327868854,17098.693647540982
2017,C,864,14288500,0.0,15.042106481481483,16537.61574074074
2017,D,389,5874475,0.0,19.580154241645246,15101.478149100258
2017,E,183,2272175,0.0,24.696994535519128,12416.256830601093
2017,F,3,3000,0.0,30.75,1000.0
2018,A,1196,16867375,0.0,7.627006688963211,14103.15635451505
2018,B,1296,21883875,0.0,11.475864197530866,16885.70601851852
2018,C,1103,17989300,0.0,15.08049864007253,16309.428830462375
2018,D,523,8072250,0.0,19.636367112810706,15434.51242829828
2018,E,236,2815425,0.0,24.926779661016948,11929.766949152543
2018,F,2,2000,0.0,30.75,1000.0
2019,A,951,13961275,0.0,7.653753943217666,14680.625657202945
2019,B,1020,17333950,0.0,11.425343137254902,16994.06862745098
2019,C,822,13543125,0.0,15.047189781021899,16475.821167883212
2019,D,402,6226250,0.0,19.533930348258707,15488.18407960199
2019,E,173,2308100,0.0,25.062890173410405,13341.618497109826
2019,F,2,2000,0.0,30.75,1000.0
