loan_amnt,int_rate,term_months,grade,purpose,addr_state,issue_year,is_default,dti_bucket
2500,13.56,36.0,C,debt_consolidation,NY,2018,0,10-20
30000,18.94,60.0,D,debt_consolidation,LA,2018,0,20-30
5000,17.97,36.0,D,debt_consolidation,MI,2018,0,10-20
4000,18.94,36.0,D,debt_consolidation,WA,2018,0,10-20
30000,16.14,60.0,C,debt_consolidation,MD,2018,0,20-30
5550,15.02,36.0,C,credit_card,IN,2018,0,30-40
2000,17.97,36.0,D,debt_consolidation,IL,2018,0,0-10
6000,13.56,36.0,C,credit_card,IN,2018,0,30-40
5000,17.97,36.0,D,debt_consolidation,FL,2018,0,20-30
6000,14.47,36.0,C,debt_consolidation,CT,2018,0,10-20
5500,22.35,36.0,D,credit_card,LA,2018,0,10-20
28000,11.31,60.0,B,credit_card,GA,2018,0,20-30
11200,8.19,36.0,A,credit_card,UT,2018,0,20-30
6500,17.97,36.0,D,debt_consolidation,NC,2018,0,20-30
22000,12.98,60.0,B,debt_consolidation,KY,2018,0,10-20
3500,16.14,36.0,C,debt_consolidation,IL,2018,0,10-20
7000,12.98,36.0,B,house,OH,2018,0,10-20
25000,16.91,60.0,C,debt_consolidation,OH,2018,0,0-10
16000,20.89,60.0,D,credit_card,AR,2018,0,20-30
13000,14.47,60.0,C,debt_consolidation,OK,2018,0,20-30
10000,13.56,36.0,C,credit_card,CA,2018,0,10-20
13000,14.47,36.0,C,credit_card,IL,2018,0,10-20
9600,23.4,36.0,E,credit_card,WV,2018,0,20-30
3500,20.89,36.0,D,car,NJ,2018,0,0-10
16000,26.31,60.0,E,credit_card,SC,2018,0,30-40
15000,14.47,60.0,C,debt_consolidation,TX,2018,0,40-50
13000,23.4,36.0,E,other,PA,2018,0,30-40
23000,20.89,60.0,D,debt_consolidation,KS,2018,0,0-10
8000,23.4,36.0,E,debt_consolidation,AL,2018,0,30-40
32075,11.8,60.0,B,credit_card,VA,2018,0,20-30
12000,13.56,60.0,C,debt_consolidation,PA,2018,0,10-20
10000,19.92,60.0,D,debt_consolidation,MO,2018,0,20-30
16000,17.97,60.0,D,debt_consolidation,NC,2018,0,20-30
3300,23.4,36.0,E,vacation,GA,2018,0,10-20
20000,11.8,60.0,B,credit_card,PA,2018,0,0-10
3500,20.89,36.0,D,credit_card,AZ,2018,0,10-20
12000,26.31,36.0,E,credit_card,IL,2018,0,30-40
10000,20.89,36.0,D,credit_card,NY,2018,0,10-20
6000,6.46,36.0,A,credit_card,TX,2018,0,10-20
25000,27.27,60.0,E,credit_card,WA,2018,0,10-20
20000,12.98,36.0,B,debt_consolidation,IL,2018,0,20-30
2200,15.02,36.0,C,debt_consolidation,NM,2018,0,10-20
25000,17.97,60.0,D,debt_consolidation,AL,2018,0,10-20
4000,11.8,36.0,B,debt_consolidation,PA,2018,0,10-20
1250,23.4,36.0,E,other,IN,2018,0,0-10
10400,12.98,36.0,B,credit_card,CO,2018,0,20-30
7500,11.8,36.0,B,debt_consolidation,AR,2018,0,20-30
7000,10.72,36.0,B,other,VA,2018,0,30-40
25000,12.98,36.0,B,debt_consolidation,RI,2018,0,20-30
8000,11.8,36.0,B,credit_card,AL,2018,0,20-30
9000,10.33,36.0,B,credit_card,WI,2018,0,10-20
9600,15.02,36.0,C,debt_consolidation,NJ,2018,0,30-40
8000,10.72,36.0,B,car,CO,2018,0,10-20
12000,16.14,36.0,C,credit_card,AZ,2018,0,20-30
20000,13.56,36.0,C,debt_consolidation,CT,2018,0,30-40
40000,14.47,60.0,C,debt_consolidation,GA,2018,0,10-20
14400,14.47,60.0,C,debt_consolidation,CA,2018,0,10-20
22400,8.81,36.0,A,debt_consolidation,CT,2018,0,40-50
25000,10.33,36.0,B,debt_consolidation,TN,2018,0,20-30
26000,18.94,60.0,D,debt_consolidation,MI,2018,0,20-30
25000,15.02,60.0,C,debt_consolidation,NC,2018,0,20-30
1000,30.75,36.0,F,other,IL,2018,0,10-20
2000,8.19,36.0,A,credit_card,PA,2018,0,10-20
9000,6.46,36.0,A,debt_consolidation,CT,2018,0,30-40
20000,13.56,36.0,C,debt_consolidation,CA,2018,0,0-10
29450,8.19,36.0,A,debt_consolidation,CA,2018,0,10-20
34625,16.14,60.0,C,debt_consolidation,TX,2018,0,20-30
31450,7.56,36.0,A,debt_consolidation,NV,2018,0,0-10
15500,10.72,36.0,B,credit_card,CA,2018,0,10-20
12000,11.8,36.0,B,debt_consolidation,NY,2018,0,20-30
36000,17.97,60.0,D,debt_consolidation,MA,2018,0,30-40
30000,16.14,36.0,C,debt_consolidation,TX,2018,0,20-30
3000,17.97,36.0,D,debt_consolidation,NY,2018,0,30-40
35000,12.98,36.0,B,debt_consolidation,IL,2018,0,10-20
26500,11.31,60.0,B,credit_card,OK,2018,0,10-20
4000,23.4,36.0,E,debt_consolidation,NJ,2018,0,20-30
12000,22.35,60.0,D,credit_card,IL,2018,0,10-20
3000,15.02,36.0,C,home_improvement,NY,2018,0,20-30
8000,14.47,36.0,C,credit_card,KY,2018,0,10-20
10250,10.72,36.0,B,debt_consolidation,CA,2018,0,0-10
22400,16.14,60.0,C,credit_card,VA,2018,0,10-20
27000,15.02,60.0,C,debt_consolidation,MO,2018,0,20-30
24000,19.92,36.0,D,credit_card,TX,2018,0,50+
6500,10.72,36.0,B,debt_consolidation,CA,2018,0,20-30
25000,16.91,36.0,C,debt_consolidation,CA,2018,0,10-20
8000,10.72,36.0,B,credit_card,IL,2018,0,10-20
21000,15.02,60.0,C,debt_consolidation,OH,2018,0,0-10
10000,14.47,36.0,C,credit_card,NC,2018,0,10-20
7500,16.14,36.0,C,home_improvement,NC,2018,0,10-20
30000,16.91,36.0,C,debt_consolidation,NJ,2018,0,10-20
3775,13.56,36.0,C,home_improvement,KY,2018,0,50+
5600,11.31,36.0,B,debt_consolidation,CT,2018,0,30-40
6000,16.14,36.0,C,other,MD,2018,0,0-10
16000,15.02,36.0,C,debt_consolidation,AL,2018,0,10-20
15000,16.14,36.0,C,credit_card,GA,2018,0,10-20
21000,15.02,60.0,C,debt_consolidation,WI,2018,0,20-30
25000,20.89,60.0,D,debt_consolidation,NC,2018,0,20-30
1000,8.19,36.0,A,other,WA,2018,0,0-10
16000,20.89,60.0,D,credit_card,NC,2018,0,10-20
8500,16.91,36.0,C,debt_consolidation,VA,2018,0,0-10
30000,22.35,36.0,D,debt_consolidation,CA,2018,0,30-40
3000,8.81,36.0,A,debt_consolidation,WA,2018,0,0-10
16000,23.4,36.0,E,credit_card,CA,2018,0,10-20
8000,12.98,36.0,B,credit_card,MI,2018,0,0-10
30000,17.97,60.0,D,debt_consolidation,CA,2018,0,0-10
6000,14.47,36.0,C,credit_card,NY,2018,0,10-20
5000,12.98,36.0,B,debt_consolidation,NY,2018,0,0-10
10000,16.14,36.0,C,debt_consolidation,CA,2018,0,0-10
20000,16.14,60.0,C,other,IL,2018,0,30-40
22650,10.72,36.0,B,home_improvement,FL,2018,0,10-20
10000,11.31,36.0,B,debt_consolidation,WA,2018,0,10-20
24000,10.33,36.0,B,debt_consolidation,IL,2018,0,10-20
4000,18.94,36.0,D,debt_consolidation,MO,2018,0,0-10
30000,15.02,36.0,C,debt_consolidation,NE,2018,0,20-30
11000,16.14,36.0,C,debt_consolidation,MI,2018,0,0-10
24000,13.56,60.0,C,credit_card,IL,2018,0,20-30
18000,10.72,60.0,B,debt_consolidation,CA,2018,0,40-50
18000,8.81,36.0,A,debt_consolidation,NY,2018,0,10-20
5525,15.02,36.0,C,car,FL,2018,0,0-10
2525,16.91,36.0,C,credit_card,FL,2018,0,10-20
32000,14.47,60.0,C,home_improvement,PA,2018,0,20-30
16000,25.34,36.0,E,debt_consolidation,VA,2018,0,20-30
16000,14.47,36.0,C,debt_consolidation,PA,2018,0,20-30
18500,12.98,60.0,B,credit_card,MN,2018,0,20-30
3000,10.72,36.0,B,credit_card,TX,2018,0,20-30
23000,19.92,60.0,D,debt_consolidation,NY,2018,0,30-40
1500,17.97,36.0,D,other,MD,2018,0,20-30
24000,12.98,60.0,B,debt_consolidation,LA,2018,0,0-10
5000,16.14,36.0,C,credit_card,CA,2018,0,0-10
25000,10.33,36.0,B,debt_consolidation,SC,2018,0,30-40
2500,20.89,36.0,D,other,NY,2018,0,0-10
12000,14.47,60.0,C,debt_consolidation,NH,2018,0,10-20
9600,23.4,36.0,E,small_business,OH,2018,0,10-20
10000,11.31,36.0,B,other,CA,2018,0,50+
7000,15.02,36.0,C,debt_consolidation,RI,2018,0,20-30
8000,23.4,36.0,E,other,CA,2018,0,20-30
5000,16.14,36.0,C,other,NE,2018,0,10-20
10000,10.33,36.0,B,debt_consolidation,OR,2018,0,0-10
8000,10.33,36.0,B,credit_card,PA,2018,0,10-20
4000,18.94,36.0,D,major_purchase,CA,2018,0,20-30
24000,11.31,60.0,B,debt_consolidation,IL,2018,0,20-30
25000,16.14,60.0,C,debt_consolidation,LA,2018,0,30-40
3000,17.97,36.0,D,other,TX,2018,0,0-10
35000,18.94,60.0,D,debt_consolidation,OH,2018,0,10-20
8800,16.91,36.0,C,debt_consolidation,TX,2018,0,30-40
10500,11.8,60.0,B,debt_consolidation,AZ,2018,0,30-40
25000,14.47,60.0,C,credit_card,VT,2018,0,20-30
5500,11.31,36.0,B,debt_consolidation,TX,2018,0,10-20
12000,14.47,60.0,C,debt_consolidation,NY,2018,0,10-20
8500,16.14,36.0,C,home_improvement,TX,2018,0,10-20
35000,20.89,60.0,D,other,TX,2018,0,30-40
8250,17.97,36.0,D,debt_consolidation,AL,2018,0,20-30
40000,16.14,60.0,C,credit_card,OH,2018,0,50+
20000,10.33,36.0,B,debt_consolidation,OH,2018,0,10-20
18000,8.81,36.0,A,debt_consolidation,DC,2018,0,10-20
11000,14.47,36.0,C,debt_consolidation,NJ,2018,0,20-30
12000,16.14,36.0,C,credit_card,FL,2018,0,10-20
15000,13.56,60.0,C,credit_card,GA,2018,0,0-10
4000,16.91,36.0,C,home_improvement,FL,2018,0,0-10
32000,12.98,60.0,B,debt_consolidation,FL,2018,0,20-30
15000,14.47,60.0,C,debt_consolidation,SC,2018,0,10-20
18000,14.47,60.0,C,debt_consolidation,UT,2018,0,10-20
13000,17.97,36.0,D,home_improvement,GA,2018,0,20-30
10000,16.14,36.0,C,debt_consolidation,IL,2018,0,10-20
3600,11.8,36.0,B,other,KY,2018,0,10-20
22000,11.8,60.0,B,credit_card,IN,2018,0,20-30
10450,18.94,36.0,D,debt_consolidation,TN,2018,0,20-30
10000,11.8,36.0,B,credit_card,CA,2018,0,20-30
10000,18.94,36.0,D,other,NV,2018,0,30-40
5000,11.31,36.0,B,debt_consolidation,NC,2018,0,0-10
20000,7.56,36.0,A,credit_card,WA,2018,0,10-20
17100,18.94,36.0,D,debt_consolidation,PA,2018,0,30-40
10475,11.31,36.0,B,debt_consolidation,TX,2018,0,0-10
10000,23.4,60.0,E,debt_consolidation,CA,2018,0,10-20
7500,11.31,36.0,B,debt_consolidation,IL,2018,0,30-40
4000,10.72,36.0,B,credit_card,GA,2018,0,30-40
15400,14.47,60.0,C,debt_consolidation,OH,2018,0,30-40
35000,14.47,36.0,C,credit_card,FL,2018,0,10-20
30000,27.27,60.0,E,debt_consolidation,AZ,2018,0,20-30
16800,17.97,60.0,D,debt_consolidation,CA,2018,0,10-20
25000,15.02,60.0,C,debt_consolidation,WA,2018,0,30-40
10000,16.14,36.0,C,credit_card,FL,2018,0,20-30
20000,12.98,60.0,B,debt_consolidation,CA,2018,0,20-30
35000,15.02,60.0,C,debt_consolidation,MA,2018,0,10-20
4000,18.94,36.0,D,other,VA,2018,0,10-20
10000,16.14,60.0,C,debt_consolidation,NJ,2018,0,0-10
4500,11.31,36.0,B,credit_card,TX,2018,0,0-10
14000,26.31,60.0,E,debt_consolidation,CA,2018,0,0-10
6500,11.8,36.0,B,debt_consolidation,AL,2018,0,20-30
29625,15.02,60.0,C,debt_consolidation,TX,2018,0,10-20
16000,27.27,60.0,E,debt_consolidation,IN,2018,0,20-30
12000,14.47,60.0,C,credit_card,VA,2018,0,20-30
35000,15.02,60.0,C,debt_consolidation,MO,2018,0,0-10
30000,26.31,60.0,E,debt_consolidation,CA,2018,0,30-40
16000,14.47,36.0,C,other,CA,2018,0,10-20
24000,15.02,36.0,C,credit_card,LA,2018,0,20-30
14000,16.14,36.0,C,other,GA,2018,0,20-30
40000,11.31,60.0,B,debt_consolidation,MI,2018,0,10-20
24000,27.27,60.0,E,debt_consolidation,OR,2018,0,20-30
28000,11.31,36.0,B,credit_card,CA,2018,0,10-20
7075,23.4,36.0,E,debt_consolidation,MO,2018,0,30-40
1000,23.4,36.0,E,debt_consolidation,MN,2018,0,10-20
5400,14.47,36.0,C,credit_card,OK,2018,0,0-10
10000,19.92,36.0,D,credit_card,TN,2018,0,30-40
10000,14.47,36.0,C,credit_card,OH,2018,0,10-20
25000,16.91,36.0,C,debt_consolidation,KS,2018,0,10-20
6000,6.46,36.0,A,credit_card,CA,2018,0,0-10
7000,10.33,36.0,B,debt_consolidation,MA,2018,0,10-20
30000,12.98,60.0,B,debt_consolidation,MI,2018,0,10-20
5000,16.14,36.0,C,other,NJ,2018,0,0-10
15000,15.02,36.0,C,home_improvement,NJ,2018,0,10-20
15000,13.56,60.0,C,debt_consolidation,NC,2018,0,10-20
20000,14.47,36.0,C,debt_consolidation,NE,2018,0,30-40
20400,10.33,60.0,B,debt_consolidation,CO,2018,0,0-10
20000,12.98,60.0,B,debt_consolidation,CA,2018,0,20-30
8425,27.27,36.0,E,credit_card,MA,2018,0,10-20
21000,16.91,36.0,C,house,FL,2018,0,0-10
10000,14.47,36.0,C,debt_consolidation,TX,2018,0,20-30
15000,15.02,36.0,C,home_improvement,VA,2018,0,10-20
24000,13.56,60.0,C,debt_consolidation,MI,2018,0,10-20
15000,14.47,60.0,C,debt_consolidation,IL,2018,0,10-20
5000,10.72,36.0,B,credit_card,CA,2018,0,10-20
30000,20.89,60.0,D,debt_consolidation,CA,2018,0,0-10
35000,19.92,60.0,D,debt_consolidation,GA,2018,0,50+
3000,10.33,36.0,B,credit_card,MI,2018,0,10-20
1000,6.46,36.0,A,credit_card,NC,2018,0,10-20
10000,14.47,60.0,C,debt_consolidation,NY,2018,0,0-10
5000,11.31,36.0,B,credit_card,PA,2018,0,10-20
16500,17.97,60.0,D,debt_consolidation,TX,2018,0,50+
6000,15.02,36.0,C,debt_consolidation,NY,2018,0,10-20
35000,12.98,60.0,B,debt_consolidation,TX,2018,0,10-20
34575,17.97,60.0,D,home_improvement,AZ,2018,0,20-30
1200,17.97,36.0,D,vacation,IL,2018,0,20-30
9600,12.98,36.0,B,home_improvement,KY,2018,0,0-10
4800,16.91,36.0,C,credit_card,CO,2018,0,20-30
5000,22.35,36.0,D,debt_consolidation,FL,2018,0,20-30
10000,12.98,60.0,B,credit_card,KS,2018,0,10-20
7500,10.72,36.0,B,debt_consolidation,IL,2018,0,0-10
16000,17.97,60.0,D,debt_consolidation,CA,2018,0,20-30
7200,23.4,36.0,E,debt_consolidation,NY,2018,0,20-30
27975,14.47,36.0,C,credit_card,NY,2018,0,10-20
16000,13.56,60.0,C,credit_card,TX,2018,0,10-20
15000,10.72,36.0,B,debt_consolidation,NH,2018,0,10-20
9000,11.8,36.0,B,credit_card,WA,2018,0,30-40
1000,18.94,36.0,D,debt_consolidation,MD,2018,0,10-20
28000,13.56,60.0,C,credit_card,TX,2018,0,20-30
10000,11.31,36.0,B,major_purchase,MA,2018,0,0-10
25000,14.47,60.0,C,credit_card,NY,2018,0,20-30
23000,11.31,36.0,B,debt_consolidation,CO,2018,0,20-30
25000,12.98,60.0,B,debt_consolidation,AL,2018,0,30-40
15000,8.19,36.0,A,credit_card,FL,2018,0,0-10
35000,18.94,60.0,D,other,NJ,2018,0,20-30
5000,7.02,36.0,A,debt_consolidation,WA,2018,0,0-10
35000,8.19,36.0,A,credit_card,NJ,2018,0,0-10
30000,16.91,36.0,C,credit_card,VA,2018,0,20-30
6600,8.19,36.0,A,debt_consolidation,OR,2018,0,0-10
20300,10.33,60.0,B,other,WA,2018,0,20-30
4000,18.94,36.0,D,debt_consolidation,OR,2018,0,10-20
10000,7.56,36.0,A,home_improvement,OK,2018,0,10-20
21000,22.35,60.0,D,debt_consolidation,FL,2018,0,30-40
10000,11.8,36.0,B,debt_consolidation,IL,2018,0,10-20
3000,8.19,36.0,A,home_improvement,CA,2018,0,20-30
8000,12.98,36.0,B,debt_consolidation,FL,2018,0,30-40
1000,23.4,36.0,E,credit_card,IL,2018,0,30-40
5100,7.02,36.0,A,credit_card,FL,2018,0,20-30
4000,16.14,36.0,C,medical,NM,2018,0,20-30
35000,17.97,60.0,D,home_improvement,FL,2018,0,20-30
4000,7.02,36.0,A,other,MI,2018,0,10-20
10000,8.81,36.0,A,debt_consolidation,IN,2018,0,10-20
20000,17.97,60.0,D,debt_consolidation,WA,2018,0,20-30
22000,12.98,60.0,B,debt_consolidation,OR,2018,0,10-20
6600,11.31,36.0,B,credit_card,TX,2018,0,10-20
3000,15.02,36.0,C,vacation,CA,2018,0,10-20
35000,22.35,60.0,D,debt_consolidation,VA,2018,0,20-30
5000,19.92,36.0,D,debt_consolidation,GA,2018,0,20-30
6025,14.47,36.0,C,credit_card,MA,2018,0,0-10
21600,8.19,36.0,A,debt_consolidation,MN,2018,0,20-30
7000,20.89,36.0,D,home_improvement,FL,2018,0,30-40
10000,10.33,36.0,B,debt_consolidation,GA,2018,0,10-20
18000,14.47,36.0,C,debt_consolidation,MI,2018,0,30-40
15000,18.94,60.0,D,debt_consolidation,TX,2018,0,0-10
7000,12.98,36.0,B,credit_card,OH,2018,0,20-30
4500,10.33,36.0,B,debt_consolidation,OR,2018,0,0-10
5000,6.46,36.0,A,credit_card,TX,2018,0,10-20
10000,8.81,36.0,A,credit_card,UT,2018,0,10-20
6000,7.02,36.0,A,other,WI,2018,0,20-30
16000,8.81,36.0,A,credit_card,FL,2018,0,10-20
4500,11.8,36.0,B,other,NC,2018,0,20-30
5000,18.94,36.0,D,medical,CO,2018,0,10-20
10000,10.72,36.0,B,credit_card,PA,2018,0,10-20
17425,20.89,36.0,D,debt_consolidation,FL,2018,0,20-30
10000,14.47,36.0,C,other,CA,2018,0,20-30
2000,16.91,36.0,C,credit_card,FL,2018,0,30-40
5000,10.72,36.0,B,debt_consolidation,FL,2018,0,30-40
1300,7.56,36.0,A,credit_card,FL,2018,0,0-10
20000,15.02,60.0,C,debt_consolidation,TN,2018,0,10-20
2500,13.56,36.0,C,other,PA,2018,0,10-20
5000,10.72,36.0,B,renewable_energy,OH,2018,0,30-40
6000,8.19,36.0,A,debt_consolidation,FL,2018,0,10-20
36000,11.8,60.0,B,credit_card,GA,2018,0,30-40
16000,10.33,36.0,B,debt_consolidation,GA,2018,0,10-20
16000,22.35,60.0,D,debt_consolidation,GA,2018,0,0-10
8000,11.31,36.0,B,credit_card,SC,2018,0,10-20
2200,19.92,36.0,D,debt_consolidation,FL,2018,0,0-10
7000,13.56,36.0,C,debt_consolidation,TX,2018,0,10-20
10000,10.33,36.0,B,debt_consolidation,NC,2018,0,0-10
14000,14.47,36.0,C,credit_card,NE,2018,0,20-30
10000,13.56,36.0,C,home_improvement,NY,2018,0,10-20
8000,8.81,36.0,A,debt_consolidation,VT,2018,0,10-20
8000,8.19,36.0,A,debt_consolidation,MD,2018,0,10-20
30000,7.56,36.0,A,credit_card,IL,2018,0,0-10
15000,16.14,36.0,C,major_purchase,NM,2018,0,0-10
16000,14.47,60.0,C,credit_card,MD,2018,0,20-30
32500,8.19,60.0,A,debt_consolidation,IN,2018,0,10-20
8400,16.14,36.0,C,credit_card,MD,2018,0,20-30
20000,18.94,60.0,D,debt_consolidation,UT,2018,0,30-40
23000,14.47,60.0,C,credit_card,IL,2018,0,40-50
4800,10.33,36.0,B,debt_consolidation,NC,2018,0,10-20
40000,8.19,60.0,A,credit_card,OH,2018,0,20-30
3600,10.33,36.0,B,debt_consolidation,OH,2018,0,10-20
36950,11.8,60.0,B,debt_consolidation,CA,2018,0,0-10
15000,7.02,36.0,A,credit_card,GA,2018,0,0-10
16800,11.8,60.0,B,debt_consolidation,NJ,2018,0,10-20
13000,7.02,36.0,A,debt_consolidation,NV,2018,0,30-40
31200,11.8,60.0,B,credit_card,SC,2018,0,20-30
25000,16.91,60.0,C,home_improvement,VA,2018,0,20-30
30800,11.31,36.0,B,credit_card,IL,2018,0,20-30
16000,6.46,36.0,A,credit_card,TX,2018,0,0-10
3600,14.47,36.0,C,debt_consolidation,WA,2018,0,10-20
30000,7.02,36.0,A,major_purchase,MO,2018,0,10-20
